国家,省,市,区,行政区划代码,经度,纬度
中国,北京市,市辖区,东城区,110101,116.407526,39.904030
中国,北京市,市辖区,西城区,110102,116.407526,39.904030
中国,北京市,市辖区,朝阳区,110105,116.407526,39.904030
中国,北京市,市辖区,丰台区,110106,116.407526,39.904030
中国,北京市,市辖区,石景山区,110107,116.407526,39.904030
中国,北京市,市辖区,海淀区,110108,116.407526,39.904030
中国,北京市,市辖区,门头沟区,110109,116.407526,39.904030
中国,北京市,市辖区,房山区,110111,116.407526,39.904030
中国,北京市,市辖区,通州区,110112,116.407526,39.904030
中国,北京市,市辖区,顺义区,110113,116.407526,39.904030
中国,北京市,市辖区,昌平区,110114,116.407526,39.904030
中国,北京市,市辖区,大兴区,110115,116.407526,39.904030
中国,北京市,市辖区,怀柔区,110116,116.407526,39.904030
中国,北京市,市辖区,平谷区,110117,116.407526,39.904030
中国,北京市,市辖区,密云区,110118,116.407526,39.904030
中国,北京市,市辖区,延庆区,110119,116.407526,39.904030
中国,天津市,市辖区,和平区,120101,117.190186,39.125596
中国,天津市,市辖区,河东区,120102,117.190186,39.125596
中国,天津市,市辖区,河西区,120103,117.190186,39.125596
中国,天津市,市辖区,南开区,120104,117.190186,39.125596
中国,天津市,市辖区,河北区,120105,117.190186,39.125596
中国,天津市,市辖区,红桥区,120106,117.190186,39.125596
中国,天津市,市辖区,东丽区,120110,117.190186,39.125596
中国,天津市,市辖区,西青区,120111,117.190186,39.125596
中国,天津市,市辖区,津南区,120112,117.190186,39.125596
中国,天津市,市辖区,北辰区,120113,117.190186,39.125596
中国,天津市,市辖区,武清区,120114,117.190186,39.125596
中国,天津市,市辖区,宝坻区,120115,117.190186,39.125596
中国,天津市,市辖区,滨海新区,120116,117.190186,39.125596
中国,天津市,市辖区,宁河区,120117,117.190186,39.125596
中国,天津市,市辖区,静海区,120118,117.190186,39.125596
中国,天津市,市辖区,蓟州区,120119,117.190186,39.125596
中国,河北省,石家庄市,长安区,130102,114.514860,38.042207
中国,河北省,石家庄市,桥西区,130104,114.514860,38.042207
中国,河北省,石家庄市,新华区,130105,114.514860,38.042207
中国,河北省,石家庄市,井陉矿区,130107,114.514860,38.042207
中国,河北省,石家庄市,裕华区,130108,114.514860,38.042207
中国,河北省,石家庄市,藁城区,130109,114.514860,38.042207
中国,河北省,石家庄市,鹿泉区,130110,114.514860,38.042207
中国,河北省,石家庄市,栾城区,130111,114.514860,38.042207
中国,河北省,石家庄市,井陉县,130121,114.514860,38.042207
中国,河北省,石家庄市,正定县,130123,114.514860,38.042207
中国,河北省,石家庄市,行唐县,130125,114.514860,38.042207
中国,河北省,石家庄市,灵寿县,130126,114.514860,38.042207
中国,河北省,石家庄市,高邑县,130127,114.514860,38.042207
中国,河北省,石家庄市,深泽县,130128,114.514860,38.042207
中国,河北省,石家庄市,赞皇县,130129,114.514860,38.042207
中国,河北省,石家庄市,无极县,130130,114.514860,38.042207
中国,河北省,石家庄市,平山县,130131,114.514860,38.042207
中国,河北省,石家庄市,元氏县,130132,114.514860,38.042207
中国,河北省,石家庄市,赵县,130133,114.514860,38.042207
中国,河北省,石家庄市,石家庄高新技术产业开发区,130171,114.514860,38.042207
中国,河北省,石家庄市,石家庄循环化工园区,130172,114.514860,38.042207
中国,河北省,石家庄市,辛集市,130181,114.514860,38.042207
中国,河北省,石家庄市,晋州市,130183,114.514860,38.042207
中国,河北省,石家庄市,新乐市,130184,114.514860,38.042207
中国,河北省,唐山市,路南区,130202,118.180198,39.630874
中国,河北省,唐山市,路北区,130203,118.180198,39.630874
中国,河北省,唐山市,古冶区,130204,118.180198,39.630874
中国,河北省,唐山市,开平区,130205,118.180198,39.630874
中国,河北省,唐山市,丰南区,130207,118.180198,39.630874
中国,河北省,唐山市,丰润区,130208,118.180198,39.630874
中国,河北省,唐山市,曹妃甸区,130209,118.180198,39.630874
中国,河北省,唐山市,滦南县,130224,118.180198,39.630874
中国,河北省,唐山市,乐亭县,130225,118.180198,39.630874
中国,河北省,唐山市,迁西县,130227,118.180198,39.630874
中国,河北省,唐山市,玉田县,130229,118.180198,39.630874
中国,河北省,唐山市,河北唐山芦台经济开发区,130271,118.180198,39.630874
中国,河北省,唐山市,唐山市汉沽管理区,130272,118.180198,39.630874
中国,河北省,唐山市,唐山高新技术产业开发区,130273,118.180198,39.630874
中国,河北省,唐山市,河北唐山海港经济开发区,130274,118.180198,39.630874
中国,河北省,唐山市,遵化市,130281,118.180198,39.630874
中国,河北省,唐山市,迁安市,130283,118.180198,39.630874
中国,河北省,唐山市,滦州市,130284,118.180198,39.630874
中国,河北省,秦皇岛市,海港区,130302,119.600494,39.935383
中国,河北省,秦皇岛市,山海关区,130303,119.600494,39.935383
中国,河北省,秦皇岛市,北戴河区,130304,119.600494,39.935383
中国,河北省,秦皇岛市,抚宁区,130306,119.600494,39.935383
中国,河北省,秦皇岛市,青龙满族自治县,130321,119.600494,39.935383
中国,河北省,秦皇岛市,昌黎县,130322,119.600494,39.935383
中国,河北省,秦皇岛市,卢龙县,130324,119.600494,39.935383
中国,河北省,秦皇岛市,秦皇岛市经济技术开发区,130371,119.600494,39.935383
中国,河北省,秦皇岛市,北戴河新区,130372,119.600494,39.935383
中国,河北省,邯郸市,邯山区,130402,114.539185,36.625866
中国,河北省,邯郸市,丛台区,130403,114.539185,36.625866
中国,河北省,邯郸市,复兴区,130404,114.539185,36.625866
中国,河北省,邯郸市,峰峰矿区,130406,114.539185,36.625866
中国,河北省,邯郸市,肥乡区,130407,114.539185,36.625866
中国,河北省,邯郸市,永年区,130408,114.539185,36.625866
中国,河北省,邯郸市,临漳县,130423,114.539185,36.625866
中国,河北省,邯郸市,成安县,130424,114.539185,36.625866
中国,河北省,邯郸市,大名县,130425,114.539185,36.625866
中国,河北省,邯郸市,涉县,130426,114.539185,36.625866
中国,河北省,邯郸市,磁县,130427,114.539185,36.625866
中国,河北省,邯郸市,邱县,130430,114.539185,36.625866
中国,河北省,邯郸市,鸡泽县,130431,114.539185,36.625866
中国,河北省,邯郸市,广平县,130432,114.539185,36.625866
中国,河北省,邯郸市,馆陶县,130433,114.539185,36.625866
中国,河北省,邯郸市,魏县,130434,114.539185,36.625866
中国,河北省,邯郸市,曲周县,130435,114.539185,36.625866
中国,河北省,邯郸市,邯郸经济技术开发区,130471,114.539185,36.625866
中国,河北省,邯郸市,邯郸冀南新区,130473,114.539185,36.625866
中国,河北省,邯郸市,武安市,130481,114.539185,36.625866
中国,河北省,邢台市,襄都区,130502,114.504820,37.070550
中国,河北省,邢台市,信都区,130503,114.504820,37.070550
中国,河北省,邢台市,任泽区,130505,114.504820,37.070550
中国,河北省,邢台市,南和区,130506,114.504820,37.070550
中国,河北省,邢台市,临城县,130522,114.504820,37.070550
中国,河北省,邢台市,内丘县,130523,114.504820,37.070550
中国,河北省,邢台市,柏乡县,130524,114.504820,37.070550
中国,河北省,邢台市,隆尧县,130525,114.504820,37.070550
中国,河北省,邢台市,宁晋县,130528,114.504820,37.070550
中国,河北省,邢台市,巨鹿县,130529,114.504820,37.070550
中国,河北省,邢台市,新河县,130530,114.504820,37.070550
中国,河北省,邢台市,广宗县,130531,114.504820,37.070550
中国,河北省,邢台市,平乡县,130532,114.504820,37.070550
中国,河北省,邢台市,威县,130533,114.504820,37.070550
中国,河北省,邢台市,清河县,130534,114.504820,37.070550
中国,河北省,邢台市,临西县,130535,114.504820,37.070550
中国,河北省,邢台市,河北邢台经济开发区,130571,114.504820,37.070550
中国,河北省,邢台市,南宫市,130581,114.504820,37.070550
中国,河北省,邢台市,沙河市,130582,114.504820,37.070550
中国,河北省,保定市,竞秀区,130602,115.464966,38.873960
中国,河北省,保定市,莲池区,130606,115.464966,38.873960
中国,河北省,保定市,满城区,130607,115.464966,38.873960
中国,河北省,保定市,清苑区,130608,115.464966,38.873960
中国,河北省,保定市,徐水区,130609,115.464966,38.873960
中国,河北省,保定市,涞水县,130623,115.464966,38.873960
中国,河北省,保定市,阜平县,130624,115.464966,38.873960
中国,河北省,保定市,定兴县,130626,115.464966,38.873960
中国,河北省,保定市,唐县,130627,115.464966,38.873960
中国,河北省,保定市,高阳县,130628,115.464966,38.873960
中国,河北省,保定市,容城县,130629,115.464966,38.873960
中国,河北省,保定市,涞源县,130630,115.464966,38.873960
中国,河北省,保定市,望都县,130631,115.464966,38.873960
中国,河北省,保定市,安新县,130632,115.464966,38.873960
中国,河北省,保定市,易县,130633,115.464966,38.873960
中国,河北省,保定市,曲阳县,130634,115.464966,38.873960
中国,河北省,保定市,蠡县,130635,115.464966,38.873960
中国,河北省,保定市,顺平县,130636,115.464966,38.873960
中国,河北省,保定市,博野县,130637,115.464966,38.873960
中国,河北省,保定市,雄县,130638,115.464966,38.873960
中国,河北省,保定市,保定高新技术产业开发区,130671,115.464966,38.873960
中国,河北省,保定市,保定白沟新城,130672,115.464966,38.873960
中国,河北省,保定市,涿州市,130681,115.464966,38.873960
中国,河北省,保定市,定州市,130682,115.464966,38.873960
中国,河北省,保定市,安国市,130683,115.464966,38.873960
中国,河北省,保定市,高碑店市,130684,115.464966,38.873960
中国,河北省,张家口市,桥东区,130702,114.886902,40.768000
中国,河北省,张家口市,桥西区,130703,114.886902,40.768000
中国,河北省,张家口市,宣化区,130705,114.886902,40.768000
中国,河北省,张家口市,下花园区,130706,114.886902,40.768000
中国,河北省,张家口市,万全区,130708,114.886902,40.768000
中国,河北省,张家口市,崇礼区,130709,114.886902,40.768000
中国,河北省,张家口市,张北县,130722,114.886902,40.768000
中国,河北省,张家口市,康保县,130723,114.886902,40.768000
中国,河北省,张家口市,沽源县,130724,114.886902,40.768000
中国,河北省,张家口市,尚义县,130725,114.886902,40.768000
中国,河北省,张家口市,蔚县,130726,114.886902,40.768000
中国,河北省,张家口市,阳原县,130727,114.886902,40.768000
中国,河北省,张家口市,怀安县,130728,114.886902,40.768000
中国,河北省,张家口市,怀来县,130730,114.886902,40.768000
中国,河北省,张家口市,涿鹿县,130731,114.886902,40.768000
中国,河北省,张家口市,赤城县,130732,114.886902,40.768000
中国,河北省,张家口市,张家口经济开发区,130771,114.886902,40.768000
中国,河北省,张家口市,张家口市察北管理区,130772,114.886902,40.768000
中国,河北省,张家口市,张家口市塞北管理区,130773,114.886902,40.768000
中国,河北省,承德市,双桥区,130802,117.962822,40.954460
中国,河北省,承德市,双滦区,130803,117.962822,40.954460
中国,河北省,承德市,鹰手营子矿区,130804,117.962822,40.954460
中国,河北省,承德市,承德县,130821,117.962822,40.954460
中国,河北省,承德市,兴隆县,130822,117.962822,40.954460
